MY_OPTIMIZER seed: 0
seed for the noise set to: 30
  f107 in 2-D, instance 3: FEs=40, fbest-ftarget=1.0225e+00, elapsed time [h]: 0.00
  f107 in 2-D, instance 4: FEs=40, fbest-ftarget=4.2143e-01, elapsed time [h]: 0.00
  f107 in 2-D, instance 5: FEs=40, fbest-ftarget=1.0463e+00, elapsed time [h]: 0.00
  f107 in 2-D, instance 6: FEs=40, fbest-ftarget=5.3830e-01, elapsed time [h]: 0.00
  f107 in 2-D, instance 7: FEs=40, fbest-ftarget=7.6516e-01, elapsed time [h]: 0.00
  f107 in 2-D, instance 8: FEs=40, fbest-ftarget=2.5828e-01, elapsed time [h]: 0.00
  f107 in 2-D, instance 9: FEs=40, fbest-ftarget=6.8387e-01, elapsed time [h]: 0.00
  f107 in 2-D, instance 10: FEs=40, fbest-ftarget=4.9801e-01, elapsed time [h]: 0.00
  f107 in 2-D, instance 11: FEs=40, fbest-ftarget=1.5838e+00, elapsed time [h]: 0.00
  f107 in 2-D, instance 12: FEs=40, fbest-ftarget=5.3306e-01, elapsed time [h]: 0.00
  f107 in 2-D, instance 13: FEs=40, fbest-ftarget=1.9146e+00, elapsed time [h]: 0.00
  f107 in 2-D, instance 14: FEs=40, fbest-ftarget=7.5364e-03, elapsed time [h]: 0.00
  f107 in 2-D, instance 15: FEs=40, fbest-ftarget=3.8518e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:53 2010
  f108 in 2-D, instance 1: FEs=40, fbest-ftarget=5.4820e-01, elapsed time [h]: 0.00
  f108 in 2-D, instance 2: FEs=40, fbest-ftarget=1.0743e+00, elapsed time [h]: 0.00
  f108 in 2-D, instance 3: FEs=40, fbest-ftarget=1.1348e+00, elapsed time [h]: 0.00
  f108 in 2-D, instance 4: FEs=40, fbest-ftarget=7.5817e-01, elapsed time [h]: 0.00
  f108 in 2-D, instance 5: FEs=40, fbest-ftarget=1.2142e-01, elapsed time [h]: 0.00
  f108 in 2-D, instance 6: FEs=40, fbest-ftarget=1.0589e-01, elapsed time [h]: 0.00
  f108 in 2-D, instance 7: FEs=40, fbest-ftarget=8.0330e-02, elapsed time [h]: 0.00
  f108 in 2-D, instance 8: FEs=40, fbest-ftarget=6.0993e-01, elapsed time [h]: 0.00
  f108 in 2-D, instance 9: FEs=40, fbest-ftarget=1.4996e-01, elapsed time [h]: 0.00
  f108 in 2-D, instance 10: FEs=40, fbest-ftarget=1.4441e+00, elapsed time [h]: 0.00
  f108 in 2-D, instance 11: FEs=40, fbest-ftarget=1.4915e+00, elapsed time [h]: 0.00
  f108 in 2-D, instance 12: FEs=40, fbest-ftarget=6.8154e-02, elapsed time [h]: 0.00
  f108 in 2-D, instance 13: FEs=40, fbest-ftarget=1.1488e+00, elapsed time [h]: 0.00
  f108 in 2-D, instance 14: FEs=40, fbest-ftarget=4.1686e-01, elapsed time [h]: 0.00
  f108 in 2-D, instance 15: FEs=40, fbest-ftarget=3.6296e-01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:54 2010
  f109 in 2-D, instance 1: FEs=40, fbest-ftarget=3.2531e-01, elapsed time [h]: 0.00
  f109 in 2-D, instance 2: FEs=40, fbest-ftarget=2.3743e-01, elapsed time [h]: 0.00
  f109 in 2-D, instance 3: FEs=40, fbest-ftarget=1.0232e+00, elapsed time [h]: 0.00
  f109 in 2-D, instance 4: FEs=40, fbest-ftarget=8.9763e-01, elapsed time [h]: 0.00
  f109 in 2-D, instance 5: FEs=40, fbest-ftarget=1.8031e+00, elapsed time [h]: 0.00
  f109 in 2-D, instance 6: FEs=40, fbest-ftarget=4.8110e-01, elapsed time [h]: 0.00
  f109 in 2-D, instance 7: FEs=40, fbest-ftarget=4.3535e-02, elapsed time [h]: 0.00
  f109 in 2-D, instance 8: FEs=40, fbest-ftarget=1.6730e+00, elapsed time [h]: 0.00
  f109 in 2-D, instance 9: FEs=40, fbest-ftarget=2.1946e-01, elapsed time [h]: 0.00
  f109 in 2-D, instance 10: FEs=40, fbest-ftarget=1.2117e+00, elapsed time [h]: 0.00
  f109 in 2-D, instance 11: FEs=40, fbest-ftarget=1.0666e+00, elapsed time [h]: 0.00
  f109 in 2-D, instance 12: FEs=40, fbest-ftarget=5.7236e-01, elapsed time [h]: 0.00
  f109 in 2-D, instance 13: FEs=40, fbest-ftarget=7.6213e-01, elapsed time [h]: 0.00
  f109 in 2-D, instance 14: FEs=40, fbest-ftarget=2.0314e-01, elapsed time [h]: 0.00
  f109 in 2-D, instance 15: FEs=40, fbest-ftarget=2.1604e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:54 2010
  f110 in 2-D, instance 1: FEs=40, fbest-ftarget=6.5542e+01, elapsed time [h]: 0.00
  f110 in 2-D, instance 2: FEs=40, fbest-ftarget=4.8591e+01, elapsed time [h]: 0.00
  f110 in 2-D, instance 3: FEs=40, fbest-ftarget=1.2887e-01, elapsed time [h]: 0.00
  f110 in 2-D, instance 4: FEs=40, fbest-ftarget=1.2243e+01, elapsed time [h]: 0.00
  f110 in 2-D, instance 5: FEs=40, fbest-ftarget=1.4865e+02, elapsed time [h]: 0.00
  f110 in 2-D, instance 6: FEs=40, fbest-ftarget=1.1526e+01, elapsed time [h]: 0.00
  f110 in 2-D, instance 7: FEs=40, fbest-ftarget=9.1671e+00, elapsed time [h]: 0.00
  f110 in 2-D, instance 8: FEs=40, fbest-ftarget=1.0871e+02, elapsed time [h]: 0.00
  f110 in 2-D, instance 9: FEs=40, fbest-ftarget=9.1158e+00, elapsed time [h]: 0.00
  f110 in 2-D, instance 10: FEs=40, fbest-ftarget=3.1134e+01, elapsed time [h]: 0.00
  f110 in 2-D, instance 11: FEs=40, fbest-ftarget=1.3562e+01, elapsed time [h]: 0.00
  f110 in 2-D, instance 12: FEs=40, fbest-ftarget=4.0041e+01, elapsed time [h]: 0.00
  f110 in 2-D, instance 13: FEs=40, fbest-ftarget=1.9081e+00, elapsed time [h]: 0.00
  f110 in 2-D, instance 14: FEs=40, fbest-ftarget=2.5506e+01, elapsed time [h]: 0.00
  f110 in 2-D, instance 15: FEs=40, fbest-ftarget=9.8054e-01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:55 2010
  f111 in 2-D, instance 1: FEs=40, fbest-ftarget=7.8457e+00, elapsed time [h]: 0.00
  f111 in 2-D, instance 2: FEs=40, fbest-ftarget=6.2385e+00, elapsed time [h]: 0.00
  f111 in 2-D, instance 3: FEs=40, fbest-ftarget=1.5746e+00, elapsed time [h]: 0.00
  f111 in 2-D, instance 4: FEs=40, fbest-ftarget=3.6310e+00, elapsed time [h]: 0.00
  f111 in 2-D, instance 5: FEs=40, fbest-ftarget=1.2387e+01, elapsed time [h]: 0.00
  f111 in 2-D, instance 6: FEs=40, fbest-ftarget=8.6735e+01, elapsed time [h]: 0.00
  f111 in 2-D, instance 7: FEs=40, fbest-ftarget=2.1080e+01, elapsed time [h]: 0.00
  f111 in 2-D, instance 8: FEs=40, fbest-ftarget=9.7351e-01, elapsed time [h]: 0.00
  f111 in 2-D, instance 9: FEs=40, fbest-ftarget=4.7032e+00, elapsed time [h]: 0.00
