MY_OPTIMIZER seed: 0
  f11 in 2-D, instance 8: FEs=40, fbest-ftarget=5.8509e+03, elapsed time [h]: 0.00
  f11 in 2-D, instance 9: FEs=40, fbest-ftarget=3.0541e+03, elapsed time [h]: 0.00
  f11 in 2-D, instance 10: FEs=40, fbest-ftarget=1.3765e+04, elapsed time [h]: 0.00
  f11 in 2-D, instance 11: FEs=40, fbest-ftarget=1.4517e+05, elapsed time [h]: 0.00
  f11 in 2-D, instance 12: FEs=40, fbest-ftarget=1.9310e+04, elapsed time [h]: 0.00
  f11 in 2-D, instance 13: FEs=40, fbest-ftarget=1.5068e+04, elapsed time [h]: 0.00
  f11 in 2-D, instance 14: FEs=40, fbest-ftarget=5.8802e+02, elapsed time [h]: 0.00
  f11 in 2-D, instance 15: FEs=40, fbest-ftarget=3.4112e+04, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:26 2010
  f12 in 2-D, instance 1: FEs=40, fbest-ftarget=3.6502e+04, elapsed time [h]: 0.00
  f12 in 2-D, instance 2: FEs=40, fbest-ftarget=3.7836e+04, elapsed time [h]: 0.00
  f12 in 2-D, instance 3: FEs=40, fbest-ftarget=1.7732e+00, elapsed time [h]: 0.00
  f12 in 2-D, instance 4: FEs=40, fbest-ftarget=3.8693e+03, elapsed time [h]: 0.00
  f12 in 2-D, instance 5: FEs=40, fbest-ftarget=5.2602e+03, elapsed time [h]: 0.00
  f12 in 2-D, instance 6: FEs=40, fbest-ftarget=2.5322e+03, elapsed time [h]: 0.00
  f12 in 2-D, instance 7: FEs=40, fbest-ftarget=1.7704e+05, elapsed time [h]: 0.00
  f12 in 2-D, instance 8: FEs=40, fbest-ftarget=1.2744e+02, elapsed time [h]: 0.00
  f12 in 2-D, instance 9: FEs=40, fbest-ftarget=5.7864e+04, elapsed time [h]: 0.00
  f12 in 2-D, instance 10: FEs=40, fbest-ftarget=4.3809e+04, elapsed time [h]: 0.00
  f12 in 2-D, instance 11: FEs=40, fbest-ftarget=7.5377e+04, elapsed time [h]: 0.00
  f12 in 2-D, instance 12: FEs=40, fbest-ftarget=1.2524e+04, elapsed time [h]: 0.00
  f12 in 2-D, instance 13: FEs=40, fbest-ftarget=1.2429e+04, elapsed time [h]: 0.00
  f12 in 2-D, instance 14: FEs=40, fbest-ftarget=1.8712e+02, elapsed time [h]: 0.00
  f12 in 2-D, instance 15: FEs=40, fbest-ftarget=1.8518e+04, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:26 2010
  f13 in 2-D, instance 1: FEs=40, fbest-ftarget=6.9040e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 2: FEs=40, fbest-ftarget=1.6508e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 3: FEs=40, fbest-ftarget=2.6517e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 4: FEs=40, fbest-ftarget=4.2475e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 5: FEs=40, fbest-ftarget=5.7909e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 6: FEs=40, fbest-ftarget=3.4699e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 7: FEs=40, fbest-ftarget=5.0782e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 8: FEs=40, fbest-ftarget=2.0620e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 9: FEs=40, fbest-ftarget=2.6236e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 10: FEs=40, fbest-ftarget=6.4406e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 11: FEs=40, fbest-ftarget=1.8009e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 12: FEs=40, fbest-ftarget=2.1760e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 13: FEs=40, fbest-ftarget=2.1814e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 14: FEs=40, fbest-ftarget=4.6119e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 15: FEs=40, fbest-ftarget=5.6468e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:27 2010
  f14 in 2-D, instance 1: FEs=40, fbest-ftarget=1.1429e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 2: FEs=40, fbest-ftarget=1.3147e+00, elapsed time [h]: 0.00
  f14 in 2-D, instance 3: FEs=40, fbest-ftarget=1.4349e+00, elapsed time [h]: 0.00
  f14 in 2-D, instance 4: FEs=40, fbest-ftarget=1.1813e+00, elapsed time [h]: 0.00
  f14 in 2-D, instance 5: FEs=40, fbest-ftarget=3.3531e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 6: FEs=40, fbest-ftarget=6.7273e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 7: FEs=40, fbest-ftarget=1.2716e+00, elapsed time [h]: 0.00
  f14 in 2-D, instance 8: FEs=40, fbest-ftarget=3.7437e-02, elapsed time [h]: 0.00
  f14 in 2-D, instance 9: FEs=40, fbest-ftarget=3.7817e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 10: FEs=40, fbest-ftarget=1.2960e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 11: FEs=40, fbest-ftarget=8.2521e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 12: FEs=40, fbest-ftarget=2.1498e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 13: FEs=40, fbest-ftarget=6.5879e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 14: FEs=40, fbest-ftarget=3.3900e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 15: FEs=40, fbest-ftarget=1.7670e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:27 2010
  f15 in 2-D, instance 1: FEs=40, fbest-ftarget=1.1706e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 2: FEs=40, fbest-ftarget=1.1096e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 3: FEs=40, fbest-ftarget=2.1645e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 4: FEs=40, fbest-ftarget=1.6375e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 5: FEs=40, fbest-ftarget=2.0417e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 6: FEs=40, fbest-ftarget=6.2899e+00, elapsed time [h]: 0.00
  f15 in 2-D, instance 7: FEs=40, fbest-ftarget=1.0411e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 8: FEs=40, fbest-ftarget=1.1775e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 9: FEs=40, fbest-ftarget=2.1804e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 10: FEs=40, fbest-ftarget=1.7136e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 11: FEs=40, fbest-ftarget=2.1626e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 12: FEs=40, fbest-ftarget=6.7560e+00, elapsed time [h]: 0.00
  f15 in 2-D, instance 13: FEs=40, fbest-ftarget=1.8588e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 14: FEs=40, fbest-ftarget=1.1079e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 15: FEs=40, fbest-ftarget=9.9599e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:28 2010
  f16 in 2-D, instance 1: FEs=40, fbest-ftarget=1.0775e+01, elapsed time [h]: 0.00
  f16 in 2-D, instance 2: FEs=40, fbest-ftarget=2.5034e+00, elapsed time [h]: 0.00
  f16 in 2-D, instance 3: FEs=40, fbest-ftarget=1.6770e+00, elapsed time [h]: 0.00
  f16 in 2-D, instance 4: FEs=40, fbest-ftarget=1.3624e+00, elapsed time [h]: 0.00
  f16 in 2-D, instance 5: FEs=40, fbest-ftarget=7.9268e+00, elapsed time [h]: 0.00
  f16 in 2-D, instance 6: FEs=40, fbest-ftarget=1.5893e+01, elapsed time [h]: 0.00
  f16 in 2-D, instance 7: FEs=40, fbest-ftarget=1.3242e+01, elapsed time [h]: 0.00
  f16 in 2-D, instance 8: FEs=40, fbest-ftarget=1.2521e+01, elapsed time [h]: 0.00
  f16 in 2-D, instance 9: FEs=40, fbest-ftarget=4.2522e+00, elapsed time [h]: 0.00
  f16 in 2-D, instance 10: FEs=40, fbest-ftarget=4.6991e+00, elapsed time [h]: 0.00
  f16 in 2-D, instance 11: FEs=40, fbest-ftarget=7.0024e-01, elapsed time [h]: 0.00
  f16 in 2-D, instance 12: FEs=40, fbest-ftarget=2.0854e+00, elapsed time [h]: 0.00
  f16 in 2-D, instance 13: FEs=40, fbest-ftarget=1.5606e+01, elapsed time [h]: 0.00
  f16 in 2-D, instance 14: FEs=40, fbest-ftarget=4.6584e+00, elapsed time [h]: 0.00
  f16 in 2-D, instance 15: FEs=40, fbest-ftarget=4.8719e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:28 2010
  f17 in 2-D, instance 1: FEs=40, fbest-ftarget=2.5502e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 2: FEs=40, fbest-ftarget=1.8416e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 3: FEs=40, fbest-ftarget=2.1953e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 4: FEs=40, fbest-ftarget=4.2687e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 5: FEs=40, fbest-ftarget=2.3204e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 6: FEs=40, fbest-ftarget=2.9406e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 7: FEs=40, fbest-ftarget=2.4026e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 8: FEs=40, fbest-ftarget=1.1711e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 9: FEs=40, fbest-ftarget=2.6644e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 10: FEs=40, fbest-ftarget=2.8065e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 11: FEs=40, fbest-ftarget=2.6224e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 12: FEs=40, fbest-ftarget=1.0315e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 13: FEs=40, fbest-ftarget=1.3256e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 14: FEs=40, fbest-ftarget=1.8157e+00, elapsed time [h]: 0.00
  f17 in 2-D, instance 15: FEs=40, fbest-ftarget=1.6032e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:29 2010
  f18 in 2-D, instance 1: FEs=40, fbest-ftarget=1.2775e+01, elapsed time [h]: 0.00
  f18 in 2-D, instance 2: FEs=40, fbest-ftarget=6.3187e+00, elapsed time [h]: 0.00
  f18 in 2-D, instance 3: FEs=40, fbest-ftarget=1.8254e+01, elapsed time [h]: 0.00
  f18 in 2-D, instance 4: FEs=40, fbest-ftarget=2.6362e+00, elapsed time [h]: 0.00
  f18 in 2-D, instance 5: FEs=40, fbest-ftarget=9.1140e+00, elapsed time [h]: 0.00
